owner,title,status,priority,ref_app_count,ref_public_app_count,ref_public_maptour_count,public_total_refs,risk_score,recommended_action,url
StoryMaps,Esri Campus Tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=8c4b6f898998408691a091d4abe06f38
StoryMaps,Harvard October 2015,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=30645867b0ee42b68caa7a5b169500a3
glazou2,Hike to San Bernardino Peak,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=c350e8a1fb5649a2bef92608fc7e82f9
StoryMaps,Jacksonville map tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=52cc02a5330d4e499f6cb282826735ad
StoryMaps,Cape Cod Ride,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=2fa82fa41f234c5fb8a960c5d78bed06
StoryMaps,"Carmel, Indiana Arts and Design District",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=7556970b49324fd0b8ff8e414a8e362d
StoryMaps,Celebrating Great Trees,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3d8443584f3c4bef82af96644675f6bc
StoryMaps,"Climate March, April 29, 2017",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=29a791956bea4979baf586e8099c9368
StoryMaps,Exploring the Tuscan countryside around Radda and Volpaia,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f1cd596c139b4516997460f63e84167c
StoryMaps,"Finding the amazing in the ordinary: A morning walk in Redlands, CA",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=9319e682946148b68d2b09215a1ee530
glazou2,Greg's road trip in French Riviera,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=ffe073a99bf84d36af635ca3744a5ef5
StoryMaps,Photographing the President in 50 States,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a3344aa1bee54f47ac4190ae4bd33641
StoryMaps,MIT Walk,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=2c8f60fc919b46c0b68679f3cd838d4f
glazou2,Tert 44,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e28a47d405d94b408320bf7abf1c8ea1
glazou2,Test,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=8c5f0d646bae4f8fbe68387d79c1efa9
StoryMaps,On the Brink: The Sixth Great Extinction,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=c63f50f3623b46e2a60c518f4b2bf058
StoryMaps,Our Vacation,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=88b2d99ef16045569a1466a149941114
StoryMaps,Outer Hebrides,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=312ecb3d45534a70acdb30d7837c2fa2
dwright_storymaps,Pacific_Story_WebMap,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=cb530d04876a4ec0b6f8ab3b40e36204
glazou2,Palm Springs Map Tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=cfb75f99c520471f80a4b19fe8db4093
glazou2,Palm Springs Map Tour,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=31afc21028ec41b7b1cb2e069f2a443c
glazou2,Palm Springs Map Tour (demo),LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f06144a146464a9bbb39eb743ac35372
StoryMaps,Paris Cafes,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f445c7890bf14249a0ec8e28fdf2587d
StoryMaps,Paris Impressions,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3bc34c9da79247e787eccb0e33e52f68
StoryMaps,"Rappahannock County Birding Weekend, May 4-5 2013",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=4e629d36b0a64b58aba57cd8732259ea
glazou2,Test,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=f2ae473fc6b4424f883795e066ab88ad
glazou2,Test,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=18802dab9f4c4065b6093365b8918c30
StoryMaps,"Roosevelt Island May 7, 2014",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=7237c1d8318b4d36a4c7184c2b8fae2e
StoryMaps,"Roosevelt Island, Early Spring",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=4f7b79cdac444411895c95dea7fa5293
StoryMaps,RUPERT MJ SNAP2MAP Test 3,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=d85c4a1b6bcc4819811c4cea56a98199
StoryMaps,"San Diego - La Jolla Bikeride, July 2013",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a852b440867545f0944039544bcf4462
glazou2,SanGorgonio-9Peaks-130831,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e2d5d3a686724fed9e9701869907b043
StoryMaps,Selfies in Paris,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=12dcb330be854f0ca3533b3a57b2456f
glazou2,test 1,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=bd892906bef94977a3d8b467bf4b9794
glazou2,test-photosphere-071513,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=aa5bea72fc8042e6ba806498a421898b
glazou2,Test4,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3f8b915a97ee48de96a5b6d376b3cf54
glazou2,Tfvv,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=1fa10591b8534232a70e07ac101b7618
StoryMaps,My Trip to Redlands,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=8560797744f449d189da83846859f0e8
StoryMaps,National Conservation Training Center,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=d8603539ee30461ca1b291cbef394346
StoryMaps,Near my office,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a37cc3e7a17848fc90a2135fc6eb66da
StoryMaps,New York City March 2016,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=840e90e3a9c44cdf95132ef2c418bb5f
StoryMaps,Wildflower Inn and Vermont's Northeast Kingdom,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=94061b5021a043248ac6d4ec627fe7ae
StoryMaps,Various places,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=efa30725bcf945d8922a6affd961b624
StoryMaps,Veterans Day 2014,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=ffa8d0c3bc2044938977efbeb8c2c3d9
StoryMaps,"Walks in Cornwall: Camel River, Padstow",LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=8bd973c5a09f437995427b9be34e4ac1
StoryMaps,Walks in Cornwall: Highlands near the Fowey Estuary,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=c1188b516df44faea16c53108adcc2f1
StoryMaps,West Falmouth to Woods Hole,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=4493d90316d14f58a4db1f96c969f148
StoryMaps,White House on the Move: President Obama's Travels in 2013,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=32f8a118f03d41b8a3a527cee3d902e1
StoryMaps,Why I Like the Northeasst,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=95e2ee025f3f404295bd9bbbdfad9906
StoryMaps,The Venues at Sochi,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=32342a21738c4cf8a0426aaba5076767
StoryMaps,Women's Marches Around the World,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=8a07ed6a7a6745a0a6b0fb46ae3a0a42
StoryMaps,Touring the MIT Campus,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=b7db5b96a77a4c6b920b5c27eb5fba35
StoryMaps,xBlue Ribbon Panel of the 2013 Sustainable Oceans Summit,LEGACY,HIGH,1,1,1,2,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=d8adf7c02f654c9facf4e75ce6aaba15
StoryMaps,1990 Population with no High School Diploma-Copy,LEGACY,HIGH,3,1,0,1,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=6d9289068efd47368c9b5298cbc16b6c
skitterman,veeeedio tour,LEGACY,HIGH,3,1,0,1,120,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=20c6e65ab2444be89759b8819c6e2421
StoryMaps,2013 Esri User Conference,LEGACY,HIGH,2,1,0,1,118,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=d320bb668abd456a8d7c7f8af8bbf100
StoryMaps,Around the world in 8 days - alone,LEGACY,HIGH,2,1,0,1,118,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=124b5f15857f4eed869ae206631c93bd
StoryMaps,Major Shale Plays,LEGACY,HIGH,2,1,0,1,118,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=04744b7ad124458489ea821da3129352
StoryMaps,Renewable electricity production,LEGACY,HIGH,2,1,0,1,118,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=ecd0f881bfe6467a80252fcf26292f94
StoryMaps,10.  Hurricane Camille (1969)-Copy,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=1a49223c7eb146ff90c599c661f3f7f5
StoryMaps_services,County population change between 2012 and 2013,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=561788daf9d248bd94918b8ffc1b2e27
StoryMaps_services,County population change between 2012 and 2013 - Test,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=072c259ddc7a4b0381998a21801093a7
StoryMaps,Darwin Destinations,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3942bb94d29b4dd7bda455abbdcbef3a
glazou2,DemoElephant1,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=d42b092191cf46de90f6ef42b9a9a1c5
glazou2,DemoElephant2,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=ee7c205dbb7a45ab9ac5442b185d4b51
glazou2,DemoElephant3,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=0e0d706e0fa34872974e9876f6f6b453
glazou2,DemoElephant4,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a521988328f448fa920bfe1d489ae9e1
glazou2,DemoElephant5,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=dee83374b7554aa8b823ca2831b301d6
glazou2,DemoElephant6,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=39f748c83b5d4256be2c9ae336fee75d
glazou2,DemoElephant7,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=49b97ec8b669454e813bdd8604c869e3
StoryMaps,Dense Urban Landscapes,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=95e1c31df45b4c6b86f9e601bf9181c8
StoryMaps,Denver Today and 1879,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=2cddf0759d4e4c348b2a3d5accaa0d6b
will.storymaps,Better Rough Draft Marvel - Shortlist builder,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e880b14a66534462aa2cd3380de3287b
StoryMaps,Brazil Beyond The Stadiums,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=168c951a731240d3a0ae3540a93c42d0
StoryMaps,Brazil World Cup Shortlist,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=bc57628b16ee41dca3264d885df2c95f
StoryMaps,Airport Demonstrations Against Trump's Immigration Policies,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=279399b45e5c42a5aaa4acaf04701243
dasbury_storymaps,Earthquake!,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=3006a4060a23474cb866a24cc5873dec
StoryMaps,"Homs, Syria Aerial Imagery",LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=122399077dd84dab848cee60167a596e
acarroll73,Human activities are reshaping Earth's surface,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=75d536a69270440a952ae2e5c0143242
FedGISContent,Imagery with Labels,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=5cc75485d3864049bdd79c43bb4c7385
mystories,Campsites,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e710da4433fd4778bc964d9209382d9a
StoryMaps,Chicago Today and 1868,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=aa48aa8e43f144eb849a34368b004fb2
StoryMaps_services,Comparing Metro and Micro Area Population Change 2002-2003,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=21c26cd7e6a5499dae2f543f10990537
StoryMaps,Consumption,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=6e6043385e824a89af2b6fba8450b656
StoryMaps,Population change by county between 2012 & 2013,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=cc9ef7d8693f46f5aed6a188e57c2fd9
StoryMaps,Mapping Traffic Fatalities by Congressional District,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=02a70d47451e4eb38c4ecb7a54d7b5fb
StoryMaps_services,Landsat Tasseled Cap (Impervious surfaces) - 1990 vs 2010,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=5bc9155386404cc7ab6c8ab206ba8947
StoryMaps_services,Landsat Tasseled Cap (Impervious surfaces) - 2010 vs Imagery,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e12ba99cae3a4a7eab3117c10d65db67
StoryMaps,Los Angeles Today and 1880,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=1aaa0a06f71942a48fb56485daf2f371
StoryMaps,Moore Story,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=276d69071fd846a18ed72711f81360a7
skitterman,Sjajajaja,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=b5eae40443dd4d89a1222acb939c044f
StoryMaps,Sochi Winter Games: Events and Venues,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=90098087f38048ed95362059382fc436
StoryMaps,Olympic Social Media,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=22f3fd56e6554ffeabef914299a000eb
bock@esri.com_Story,oneesri-v4 - Shortlist builder,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=677a61ef5e534aaabe1579178ec56447
bock@esri.com_Story,oneesri-v5 - Shortlist builder,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=ded0086a332f42849d40ac2c86748cc7
bock@esri.com_Story,oneesri-v6 - Shortlist builder,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=1a4e2c7426c54375a650ef08efb87080
StoryMaps_services,Park Tiles,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=dec996e03d1740f0932c51b10b5c8a84
StoryMaps,Santa map,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=e3b0ca312a18403781f503e36821f986
StoryMaps,Thanksgiving,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=61504110b4c643a488bbcfffa46f250a
skitterman,"The Most Beutiful Places on Earth, Pt. 1",LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=a0fbfe582234431eb32b74b60f722dc7
will.storymaps,Music of Downtown New York,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=b61da21c0e0946a7aa5e0a747eb46281
StoryMaps,New York City Today and 1836,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=5b4387d60bd647bb87177fcea8178763
FedGISContent,New York Population Density,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=527205d9c3404ccda31357c7b7cba581
StoryMaps,Touring the World's Densest Cities,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=03599fa6c418430d9149e1b68c10191e
StoryMaps,Yellowstone Trails,LEGACY,HIGH,1,1,0,1,116,MIGRATE_FIRST,https://www.arcgis.com/home/item.html?id=48bbdbcbdce640249154cafb45194469
StoryMaps,A Story Map Tour of Starbucks Reserve® Coffees,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=acd1485b90ef46cd89c02010a89c6fad
skitterman,asdfas werawer awer,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=7c8409303a3c49b59e761038d2efd5be
StoryMaps,Aral Sea Then and Now - 1990 Landsat/Current Imagery,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=ed73d24172ba45be9403535aad269ea1
StoryMaps,Asbury_dynamic test,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=f5e239d2f2da4466b3167d3ec34de13e
StoryMaps,Explore the Growing World of Story Maps - Old,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=0becd387b4fe4151ac0fbb9d6073920d
StoryMaps,MIT map,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=845834dfcd924766bb9380e865c74a27
StoryMaps,Syria Geography and Social Media,LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=644047cad4e24ff19ca459979c309718
dasbury_storymaps,"TEST Churches in Greenville, SC-Copy",LEGACY,MEDIUM,2,0,0,0,74,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=16e1c70d51e7485aa0bd9730c229d5d3
StoryMaps,2010 Terrorist Attacks in Russia,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=2a8df421aefc485193e23e656a43c65d
StoryMaps,A walk around the Massachusetts Institute of Technology,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=7a193a2c071040d28b5529b24bfa2432
StoryMaps,"Crimea: Russian majority, but diverse ethnicity",LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=6db5971ccd124ea4ae2366db660c2c21
StoryMaps,DC bike loop March 2014,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=b8bfdfa6b3f8464caf43399f3d764117
dasbury_storymaps,Dead Sea pics,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=d7d937e523074fa1882c2e9a8b956803
acarroll73,DIVERSITY 2010,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=7f8676e2d063464ca42a78c2516f0fbd
StoryMaps,Aral Sea Then and Now (2010),LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=715207a4e8d24f288f0d6a8221fbf848
StoryMaps,Aral Sea Then and Now - Two layers,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=00f4a803aaa449fca461a942bd52aa31
acarroll73,Aral Sea Today,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=9c462d8468234d3380510fea48779de8
skitterman,earthquake POINTS - Shortlist builder,LEGACY,MEDIUM,1,0,0,0,72,MIGRATE_PLANNED,https://www.arcgis.com/home/item.html?id=e8402ea097824c779fec250155bd8659
